Trace Standard Standard_min Standard_max CHT CHT_min CHT_max qCHT qCHT_min qCHT_max pIBLT pIBLT_min pIBLT_max Standard2 Standard2_min Standard2_max CHT2 CHT2_min CHT2_max qCHT2 qCHT2_min qCHT2_max pIBLT2 pIBLT2_min pIBLT2_max Static_CHT Static_qCHT Static_pIBLT Static2_CHT Static2_qCHT Static2_pIBLT s_p1 s_p2
C1	3.015	2.942	3.104	1.474	1.431	1.522	1.162	1.125	1.207	1.359	1.325	1.4	5.065	4.946	5.213	1.584	1.538	1.634	1.217	1.179	1.264	1.64	1.6	1.688	 3.38 	 1.92 	 1.85 	 4.28 	 2.35 	 2.31 	 0.323956 	 0.214984
C2	1.56	0.79	1.657	0.799	0.367	0.853	0.622	0.3	0.663	0.713	0.351	0.759	2.623	1.329	2.785	0.879	0.396	0.936	0.663	0.316	0.705	0.865	0.425	0.919	 1.71 	 0.991 	 0.953 	 2.16 	 1.21 	 1.19 	 0.323956 	 0.214984
M1	2.141	2.054	2.253	1.512	1.45	1.585	0.997	0.957	1.047	1.094	1.05	1.149	3.599	3.454	3.787	1.805	1.724	1.894	1.094	1.047	1.15	1.347	1.29	1.416	 2.34 	 1.36 	 1.31 	 2.96 	 1.59 	 1.64 	 0.323956 	 0.214984
M2	5.106	4.983	5.192	3.964	3.875	4.033	2.414	2.358	2.452	2.692	2.629	2.735	8.574	8.367	8.718	4.779	4.677	4.871	2.753	2.691	2.795	3.316	3.239	3.369	 5.71 	 3.11 	 3.12 	 7.24 	 3.78 	 3.9 	 0.323956 	 0.214984
