Trace Standard Standard_min Standard_max CHT CHT_min CHT_max qCHT qCHT_min qCHT_max Standard2 Standard2_min Standard2_max CHT2 CHT2_min CHT2_max qCHT2 qCHT2_min qCHT2_max
M1	0.265	0.253	0.282	0.089	0.087	0.094	0.053	0.052	0.057	0.498	0.475	0.529	0.096	0.094	0.101	0.058	0.056	0.061
M2	0.378	0.366	0.398	0.148	0.146	0.154	0.084	0.082	0.087	0.71	0.687	0.747	0.164	0.162	0.17	0.092	0.09	0.096
C1	1.808	1.779	1.845	0.402	0.395	0.411	0.303	0.298	0.31	3.38	3.326	3.45	0.415	0.407	0.423	0.312	0.307	0.318
C2	0.56	0.344	0.582	0.139	0.08	0.145	0.097	0.058	0.102	1.05	0.646	1.092	0.146	0.084	0.153	0.102	0.06	0.107
